ID,FromStationName,ToStationName
SEA00372,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St
SEA00297,E Blaine St & Fairview Ave E,Mercer St & 9th Ave N
SEA00390,E Pine St & 16th Ave,Westlake Ave & 6th Ave
SEA00304,12th Ave & NE Campus Pkwy,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd
SEA00115,2nd Ave & Pine St,Thomas St & 5th Ave N
SEA00259,Bellevue Ave & E Pine St,2nd Ave & Pine St
SEA00119,Bellevue Ave & E Pine St,2nd Ave & Pine St
SEA00158,REI / Yale Ave N & John St,Dexter Ave N & Aloha St
SEA00265,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Republican St & Westlake Ave N
SEA00337,E Pine St & 16th Ave,Pine St & 9th Ave
SEA00151,E Pine St & 16th Ave,Pine St & 9th Ave
SEA00449,Burke Museum / E Stevens Way NE & Memorial Way NE,15th Ave NE & NE 40th St
SEA00220,NE 47th St & 12th Ave NE,NE Pacific St/UW Medical Center
SEA00118,Republican St & Westlake Ave N,Occidental Park / Occidental Ave S & S Washington St
SEA00081,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St
SEA00017,15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St
SEA00060,Key Arena / 1st Ave N & Harrison St,2nd Ave & Pine St
SEA00455,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00062,Thomas St & 5th Ave N,E Blaine St & Fairview Ave E
SEA00410,Cal Anderson Park / 11th Ave & Pine St,Thomas St & 5th Ave N
SEA00156,Cal Anderson Park / 11th Ave & Pine St,Thomas St & 5th Ave N
SEA00290,Key Arena / 1st Ave N & Harrison St,Key Arena / 1st Ave N & Harrison St
SEA00476,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St
SEA00483,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St
SEA00043,Thomas St & 5th Ave N,Pier 69 / Alaskan Way & Clay St
SEA00380,Thomas St & 5th Ave N,Pier 69 / Alaskan Way & Clay St
SEA00493,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00368,6th Ave & Blanchard St,9th Ave N & Mercer St
SEA00089,1st Ave & Marion St,Westlake Ave & 6th Ave
SEA00316,7th Ave & Union St,REI / Yale Ave N & John St
SEA00356,Dexter Ave N & Aloha St,Republican St & Westlake Ave N
SEA00079,Union St & 4th Ave,3rd Ave & Broad St
SEA00279,Harvard Ave & E Pine St,E Harrison St & Broadway Ave E
SEA00062,E Blaine St & Fairview Ave E,15th Ave NE & NE 40th St
SEA00157,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St
SEA00321,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St
SEA00041,6th Ave & Blanchard St,7th Ave & Union St
SEA00095,E Pine St & 16th Ave,Union St & 4th Ave
SEA00289,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UW Intramural Activities Building
SEA00329,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UW Intramural Activities Building
SEA00245,9th Ave N & Mercer St,PATH / 9th Ave & Westlake Ave
SEA00377,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St
SEA00118,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St
SEA00491,1st Ave & Marion St,9th Ave N & Mercer St
SEA00279,E Harrison St & Broadway Ave E,Harvard Ave & E Pine St
SEA00045,Seattle University / E Columbia St & 12th Ave,Cal Anderson Park / 11th Ave & Pine St
SEA00223,Eastlake Ave E & E Allison St,15th Ave NE & NE 40th St
SEA00293,Seattle University / E Columbia St & 12th Ave,Cal Anderson Park / 11th Ave & Pine St
SEA00015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St
